level,doc_type,file,producer,printed_date,file_creation_date,gap_days
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_379_L0_naive_0087.pdf,Skia/PDF m120,2025-08-07,2026-05-07,273
L0_naive,medical,forged_careful/L0_naive/medicals/medical_721_L0_naive_0088.pdf,Canva,2026-03-14,2026-10-16,216
L0_naive,medical,forged_careful/L0_naive/medicals/medical_542_L0_naive_0089.pdf,Microsoft® Word for Microsoft 365,2025-12-18,2026-08-05,230
L0_naive,medical,forged_careful/L0_naive/medicals/medical_307_L0_naive_0090.pdf,Microsoft® Word for Microsoft 365,2026-07-21,2027-05-17,300
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_271_L0_naive_0091.pdf,iLovePDF,2026-06-06,2026-09-13,99
L0_naive,letter,forged_careful/L0_naive/letters/letter_289_L0_naive_0092.pdf,iLovePDF,2026-01-15,2026-05-08,113
L0_naive,medical,forged_careful/L0_naive/medicals/medical_352_L0_naive_0093.pdf,LibreOffice 7.5,2025-07-29,2026-03-21,235
L0_naive,medical,forged_careful/L0_naive/medicals/medical_874_L0_naive_0094.pdf,Canva,2025-08-10,2026-02-15,189
L0_naive,letter,forged_careful/L0_naive/letters/letter_258_L0_naive_0095.pdf,Microsoft® Word for Microsoft 365,2025-12-12,2026-03-05,83
L0_naive,medical,forged_careful/L0_naive/medicals/medical_434_L0_naive_0096.pdf,Canva,2025-09-04,2025-11-14,71
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_342_L0_naive_0097.pdf,Canva,2026-03-14,2026-06-23,101
L0_naive,medical,forged_careful/L0_naive/medicals/medical_453_L0_naive_0098.pdf,iLovePDF,2025-07-22,2026-03-19,240
L0_naive,letter,forged_careful/L0_naive/letters/letter_575_L0_naive_0099.pdf,Microsoft® Word for Microsoft 365,2025-08-15,2025-11-11,88
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_968_L0_naive_0100.pdf,iLovePDF,2026-07-06,2026-09-13,69
L0_naive,letter,forged_careful/L0_naive/letters/letter_597_L0_naive_0101.pdf,iLovePDF,2025-08-11,2025-11-16,97
L0_naive,letter,forged_careful/L0_naive/letters/letter_131_L0_naive_0102.pdf,Microsoft® Word for Microsoft 365,2026-07-22,2026-12-07,138
L0_naive,letter,forged_careful/L0_naive/letters/letter_921_L0_naive_0103.pdf,Microsoft® Word for Microsoft 365,2026-03-02,2026-12-17,290
L0_naive,letter,forged_careful/L0_naive/letters/letter_216_L0_naive_0104.pdf,LibreOffice 7.5,2025-11-06,2026-06-24,230
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_363_L0_naive_0105.pdf,Skia/PDF m120,2025-08-23,2026-03-29,218
L0_naive,medical,forged_careful/L0_naive/medicals/medical_159_L0_naive_0106.pdf,LibreOffice 7.5,2025-07-13,2026-04-20,281
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_1000_L0_naive_0107.pdf,Microsoft® Word for Microsoft 365,2025-08-16,2025-11-29,105
L0_naive,medical,forged_careful/L0_naive/medicals/medical_947_L0_naive_0108.pdf,Canva,2025-08-26,2026-05-13,260
L0_naive,letter,forged_careful/L0_naive/letters/letter_822_L0_naive_0109.pdf,LibreOffice 7.5,2025-07-28,2025-12-03,128
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_807_L0_naive_0110.pdf,Skia/PDF m120,2025-08-04,2026-05-14,283
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_880_L0_naive_0111.pdf,LibreOffice 7.5,2025-07-19,2026-04-14,269
L0_naive,letter,forged_careful/L0_naive/letters/letter_359_L0_naive_0112.pdf,Canva,2025-10-06,2026-07-03,270
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_229_L0_naive_0113.pdf,LibreOffice 7.5,2026-07-01,2026-12-10,162
L0_naive,letter,forged_careful/L0_naive/letters/letter_286_L0_naive_0114.pdf,Microsoft® Word for Microsoft 365,2025-11-05,2026-07-20,257
L0_naive,letter,forged_careful/L0_naive/letters/letter_360_L0_naive_0115.pdf,iLovePDF,2026-07-05,2026-12-14,162
L0_naive,medical,forged_careful/L0_naive/medicals/medical_864_L0_naive_0116.pdf,iLovePDF,2026-07-15,2026-12-06,144
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_119_L0_naive_0117.pdf,iLovePDF,2026-01-28,2026-06-04,127
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_112_L0_naive_0118.pdf,Canva,2026-02-23,2026-10-27,246
L0_naive,letter,forged_careful/L0_naive/letters/letter_447_L0_naive_0119.pdf,iLovePDF,2026-02-16,2026-08-25,190
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_395_L0_naive_0120.pdf,Canva,2025-10-21,2025-12-31,71
L0_naive,medical,forged_careful/L0_naive/medicals/medical_447_L0_naive_0121.pdf,Microsoft® Word for Microsoft 365,2025-12-22,2026-07-03,193
L0_naive,medical,forged_careful/L0_naive/medicals/medical_704_L0_naive_0122.pdf,LibreOffice 7.5,2026-01-21,2026-06-23,153
L0_naive,letter,forged_careful/L0_naive/letters/letter_072_L0_naive_0123.pdf,Canva,2026-02-10,2026-09-17,219
L0_naive,letter,forged_careful/L0_naive/letters/letter_680_L0_naive_0124.pdf,Microsoft® Word for Microsoft 365,2025-11-24,2026-07-26,244
L0_naive,letter,forged_careful/L0_naive/letters/letter_520_L0_naive_0125.pdf,Canva,2025-09-06,2026-04-24,230
L0_naive,letter,forged_careful/L0_naive/letters/letter_335_L0_naive_0126.pdf,Skia/PDF m120,2026-06-08,2027-02-01,238
L0_naive,letter,forged_careful/L0_naive/letters/letter_568_L0_naive_0127.pdf,LibreOffice 7.5,2025-08-30,2025-12-17,109
L0_naive,letter,forged_careful/L0_naive/letters/letter_681_L0_naive_0128.pdf,Skia/PDF m120,2026-02-17,2026-10-08,233
L0_naive,medical,forged_careful/L0_naive/medicals/medical_925_L0_naive_0129.pdf,LibreOffice 7.5,2025-09-21,2026-04-26,217
L0_naive,medical,forged_careful/L0_naive/medicals/medical_309_L0_naive_0130.pdf,Skia/PDF m120,2025-08-26,2026-03-14,200
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_312_L0_naive_0131.pdf,Skia/PDF m120,2026-07-13,2027-03-31,261
L0_naive,medical,forged_careful/L0_naive/medicals/medical_622_L0_naive_0132.pdf,Canva,2025-12-11,2026-06-08,179
L0_naive,letter,forged_careful/L0_naive/letters/letter_453_L0_naive_0133.pdf,LibreOffice 7.5,2026-04-23,2026-10-30,190
L0_naive,letter,forged_careful/L0_naive/letters/letter_813_L0_naive_0134.pdf,LibreOffice 7.5,2026-04-11,2026-11-25,228
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_291_L0_naive_0135.pdf,iLovePDF,2025-12-06,2026-04-30,145
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_839_L0_naive_0136.pdf,Canva,2026-05-30,2026-09-24,117
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_151_L0_naive_0137.pdf,LibreOffice 7.5,2025-12-27,2026-06-26,181
L0_naive,medical,forged_careful/L0_naive/medicals/medical_871_L0_naive_0138.pdf,Microsoft® Word for Microsoft 365,2025-08-27,2026-02-19,176
L0_naive,letter,forged_careful/L0_naive/letters/letter_908_L0_naive_0139.pdf,iLovePDF,2025-09-02,2025-12-20,109
L0_naive,medical,forged_careful/L0_naive/medicals/medical_714_L0_naive_0140.pdf,Skia/PDF m120,2025-10-11,2026-04-15,186
L0_naive,letter,forged_careful/L0_naive/letters/letter_250_L0_naive_0141.pdf,LibreOffice 7.5,2025-11-07,2026-06-22,227
L0_naive,medical,forged_careful/L0_naive/medicals/medical_006_L0_naive_0142.pdf,Microsoft® Word for Microsoft 365,2025-10-06,2026-06-22,259
L0_naive,letter,forged_careful/L0_naive/letters/letter_225_L0_naive_0143.pdf,LibreOffice 7.5,2025-11-09,2026-08-01,265
L0_naive,medical,forged_careful/L0_naive/medicals/medical_531_L0_naive_0144.pdf,Skia/PDF m120,2026-05-08,2026-07-19,72
L0_naive,medical,forged_careful/L0_naive/medicals/medical_256_L0_naive_0145.pdf,Microsoft® Word for Microsoft 365,2026-06-30,2026-12-23,176
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_821_L0_naive_0146.pdf,iLovePDF,2026-01-11,2026-08-02,203
L0_naive,medical,forged_careful/L0_naive/medicals/medical_325_L0_naive_0147.pdf,Skia/PDF m120,2026-02-08,2026-09-12,216
L0_naive,medical,forged_careful/L0_naive/medicals/medical_914_L0_naive_0148.pdf,iLovePDF,2026-03-13,2026-08-29,169
L0_naive,medical,forged_careful/L0_naive/medicals/medical_457_L0_naive_0149.pdf,LibreOffice 7.5,2025-07-28,2026-04-04,250
L0_naive,letter,forged_careful/L0_naive/letters/letter_461_L0_naive_0150.pdf,Canva,2025-12-22,2026-08-31,252
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_861_L0_naive_0151.pdf,iLovePDF,2026-07-02,2027-01-02,184
L0_naive,medical,forged_careful/L0_naive/medicals/medical_245_L0_naive_0152.pdf,Canva,2026-07-21,2027-01-09,172
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_731_L0_naive_0153.pdf,Canva,2026-05-06,2026-09-28,145
L0_naive,letter,forged_careful/L0_naive/letters/letter_915_L0_naive_0154.pdf,iLovePDF,2026-03-02,2026-05-21,80
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_155_L0_naive_0155.pdf,LibreOffice 7.5,2026-04-09,2026-12-05,240
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_066_L0_naive_0156.pdf,Canva,2026-06-05,2026-12-20,198
L0_naive,letter,forged_careful/L0_naive/letters/letter_426_L0_naive_0157.pdf,Microsoft® Word for Microsoft 365,2025-11-10,2026-03-02,112
L0_naive,letter,forged_careful/L0_naive/letters/letter_399_L0_naive_0158.pdf,iLovePDF,2025-07-25,2026-03-20,238
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_878_L0_naive_0159.pdf,Skia/PDF m120,2025-09-22,2025-11-22,61
L0_naive,letter,forged_careful/L0_naive/letters/letter_306_L0_naive_0160.pdf,Skia/PDF m120,2026-05-01,2027-02-03,278
L0_naive,letter,forged_careful/L0_naive/letters/letter_552_L0_naive_0161.pdf,iLovePDF,2026-03-02,2026-11-21,264
L0_naive,medical,forged_careful/L0_naive/medicals/medical_920_L0_naive_0162.pdf,LibreOffice 7.5,2026-05-04,2026-11-04,184
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_280_L0_naive_0163.pdf,Microsoft® Word for Microsoft 365,2026-05-10,2026-10-16,159
L0_naive,letter,forged_careful/L0_naive/letters/letter_685_L0_naive_0164.pdf,Skia/PDF m120,2026-07-22,2027-03-24,245
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_861_L0_naive_0165.pdf,iLovePDF,2026-07-02,2027-01-14,196
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_929_L0_naive_0166.pdf,iLovePDF,2026-01-12,2026-08-29,229
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_086_L0_naive_0167.pdf,LibreOffice 7.5,2026-01-26,2026-11-03,281
L0_naive,letter,forged_careful/L0_naive/letters/letter_187_L0_naive_0168.pdf,Microsoft® Word for Microsoft 365,2025-08-14,2025-12-18,126
L0_naive,letter,forged_careful/L0_naive/letters/letter_336_L0_naive_0169.pdf,LibreOffice 7.5,2026-07-10,2027-01-02,176
L0_naive,letter,forged_careful/L0_naive/letters/letter_346_L0_naive_0170.pdf,Skia/PDF m120,2026-07-11,2026-11-19,131
L0_naive,letter,forged_careful/L0_naive/letters/letter_259_L0_naive_0171.pdf,Microsoft® Word for Microsoft 365,2026-05-07,2026-11-03,180
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_768_L0_naive_0172.pdf,Canva,2026-05-18,2026-09-12,117
L0_naive,medical,forged_careful/L0_naive/medicals/medical_071_L0_naive_0173.pdf,Microsoft® Word for Microsoft 365,2026-07-17,2027-03-27,253
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_973_L0_naive_0174.pdf,Microsoft® Word for Microsoft 365,2026-02-28,2026-10-05,219
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_245_L0_naive_0175.pdf,Microsoft® Word for Microsoft 365,2026-04-16,2026-11-06,204
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_477_L0_naive_0176.pdf,Canva,2026-06-23,2026-10-03,102
L0_naive,medical,forged_careful/L0_naive/medicals/medical_622_L0_naive_0177.pdf,Microsoft® Word for Microsoft 365,2025-12-11,2026-08-27,259
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_988_L0_naive_0178.pdf,iLovePDF,2025-08-09,2025-10-14,66
L0_naive,letter,forged_careful/L0_naive/letters/letter_590_L0_naive_0179.pdf,Skia/PDF m120,2026-03-18,2026-08-26,161
L0_naive,medical,forged_careful/L0_naive/medicals/medical_204_L0_naive_0180.pdf,Microsoft® Word for Microsoft 365,2026-05-17,2026-12-14,211
L0_naive,medical,forged_careful/L0_naive/medicals/medical_851_L0_naive_0181.pdf,LibreOffice 7.5,2025-07-26,2025-10-20,86
L0_naive,medical,forged_careful/L0_naive/medicals/medical_792_L0_naive_0182.pdf,Canva,2025-08-16,2026-05-20,277
L0_naive,medical,forged_careful/L0_naive/medicals/medical_615_L0_naive_0183.pdf,Microsoft® Word for Microsoft 365,2026-04-18,2027-01-06,263
L0_naive,medical,forged_careful/L0_naive/medicals/medical_802_L0_naive_0184.pdf,Microsoft® Word for Microsoft 365,2025-10-27,2026-03-24,148
L0_naive,medical,forged_careful/L0_naive/medicals/medical_439_L0_naive_0185.pdf,Canva,2026-07-12,2026-09-27,77
L0_naive,medical,forged_careful/L0_naive/medicals/medical_664_L0_naive_0186.pdf,Canva,2026-05-29,2026-07-31,63
L0_naive,letter,forged_careful/L0_naive/letters/letter_843_L0_naive_0187.pdf,Skia/PDF m120,2026-02-07,2026-05-05,87
L0_naive,letter,forged_careful/L0_naive/letters/letter_984_L0_naive_0188.pdf,Canva,2026-07-27,2027-03-06,222
L0_naive,letter,forged_careful/L0_naive/letters/letter_725_L0_naive_0189.pdf,LibreOffice 7.5,2026-01-14,2026-07-04,171
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_752_L0_naive_0190.pdf,Canva,2026-03-26,2026-10-29,217
L0_naive,medical,forged_careful/L0_naive/medicals/medical_794_L0_naive_0191.pdf,Skia/PDF m120,2026-03-03,2026-08-29,179
L0_naive,letter,forged_careful/L0_naive/letters/letter_846_L0_naive_0192.pdf,iLovePDF,2025-12-29,2026-05-06,128
L0_naive,letter,forged_careful/L0_naive/letters/letter_873_L0_naive_0193.pdf,LibreOffice 7.5,2026-02-18,2026-11-17,272
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_286_L0_naive_0194.pdf,Skia/PDF m120,2026-08-10,2027-03-03,205
L0_naive,medical,forged_careful/L0_naive/medicals/medical_685_L0_naive_0195.pdf,Skia/PDF m120,2025-10-28,2026-03-23,146
L0_naive,invoice,forged_careful/L0_naive/invoices/invoice_507_L0_naive_0196.pdf,Skia/PDF m120,2025-08-13,2025-12-05,114
L0_naive,letter,forged_careful/L0_naive/letters/letter_817_L0_naive_0197.pdf,Canva,2026-02-12,2026-07-09,147
L0_naive,letter,forged_careful/L0_naive/letters/letter_902_L0_naive_0198.pdf,iLovePDF,2026-03-23,2026-11-17,239
L0_naive,letter,forged_careful/L0_naive/letters/letter_570_L0_naive_0199.pdf,Microsoft® Word for Microsoft 365,2025-09-10,2026-03-21,192
