file,genre,status,words,ocr_conf,tamper_px_pct,tamper_bbox_pct,width,height
528348116+-8116,email,ok,99,84.1,0.334,2.812,754,1000
528395935+-5935,email,ok,116,77.7,0.0671,0.133,754,1000
528399921+-9921,email,ok,125,88.2,0.0324,0.057,754,1000
528403451+-3453,email,ok,342,79.3,0.1923,3.001,754,1000
528407164+-7164,email,ok,63,85.4,0.0545,0.086,754,1000
528414425+-4431,email,ocr_below_gate,24,69.5,0.1741,0.576,754,1000
528432180+-2180,email,ok,50,81.9,0.1085,0.221,754,1000
528583179+-3179,email,ok,104,86.6,0.0298,0.052,754,1000
528693250+-3251,email,ok,408,90.7,0.0655,4.428,754,1000
528748157+-8157,email,ok,160,90.1,0.1304,2.813,754,1000
528759006+-9007,email,ok,267,90.0,0.1869,1.048,754,1000
528790254+-0260,email,ok,97,77.8,0.1329,6.469,754,1000
528795352+-5352,email,ok,216,74.8,0.1106,0.243,754,1000
528797477+-7478,email,ok,32,81.9,0.0138,0.051,754,1000
528798018+-8018,email,ok,153,87.3,0.0341,0.053,754,1000
528806817+-6824,email,ok,180,82.9,0.1877,3.15,754,1000
528808446+-8446,email,ok,132,88.9,0.148,1.629,754,1000
528832035+-2035,email,ok,41,84.8,0.0275,0.063,754,1000
528853966+-3966,email,ok,37,81.4,0.0527,0.083,754,1000
528868015+-8016,email,ok,87,85.8,0.1477,0.48,754,1000
528897844+-7847,email,ok,78,86.0,0.2533,0.609,754,1000
528981650+-1651,email,ok,377,85.5,0.4887,1.165,754,1000
529210325+-0326,email,ok,54,83.5,0.1585,0.73,754,1000
529319719+-9719,email,ok,36,80.8,0.1443,0.298,754,1000
529336494+-6496,email,ok,136,81.7,0.0614,0.108,754,1000
530248760+-8760,email,ok,68,83.1,0.2484,3.955,754,1000
530274849+-4851,email,ok,307,88.5,0.1228,0.282,754,1000
530285747+-5749,email,ok,343,90.9,0.4182,25.597,754,1000
530289371+-9384,email,ok,356,88.1,0.155,3.369,754,1000
530299585+-9585,email,ok,82,88.9,0.3653,0.912,754,1000
530542123+-2123,email,ok,276,71.4,0.4468,1.208,754,1000
530774974+-4976,email,ok,256,90.6,0.3908,0.881,754,1000
530776501+-6501,email,ok,71,81.5,0.0342,0.057,754,1000
530905773+-5774,email,ok,68,85.4,0.1252,0.297,754,1000
530970428+-0428,email,ok,146,92.2,0.3877,0.995,754,1000
530971275+-1276,email,ok,339,85.8,0.0202,0.035,754,1000
531244393+-4394,email,ok,269,90.8,0.0485,0.15,754,1000
531295618+-5618,email,ok,36,82.8,0.031,0.053,754,1000
531295788+-5788,email,ok,271,89.9,0.429,1.046,754,1000
531320619+-0670,email,ok,27,82.5,0.0337,0.098,754,1000
531326623+-6626,email,ok,51,86.4,0.0485,0.15,754,1000
531415644+-5679,email,ok,268,89.3,0.4772,1.109,754,1000
531416209+-6242,email,ok,133,91.8,0.4345,1.008,754,1000
531536178+-6178,email,ok,168,92.7,0.2479,0.745,754,1000
531571089+-1090,email,ok,192,91.5,0.0631,15.0,754,1000
531572389+-2390,email,ok,148,90.7,0.0529,0.131,754,1000
531604736+-4738,email,ok,58,91.1,0.0793,42.65,754,1000
531605859+-5866,email,ok,219,77.4,0.3846,47.374,754,1000
531716126+-6129,email,ok,372,90.1,0.5208,63.963,754,1000
81873878,email,ok,86,69.2,0.0939,0.277,802,1000
81875447,email,ok,95,55.4,0.0976,0.195,802,1000
856173,email,ocr_below_gate,239,48.0,0.3413,0.907,762,1000
0000980962,form,ocr_below_gate,16,32.6,0.169,0.405,762,1000
0001439080,form,ok,145,60.3,0.2083,0.467,762,1000
0001439146,form,ok,132,63.1,0.0307,0.057,762,1000
0001484223,form,ocr_below_gate,92,38.6,0.0981,0.167,771,1000
00043194,form,ok,274,81.7,0.1696,0.375,774,1000
0060064594,form,ok,89,63.6,0.0155,0.03,762,1000
0060070568,form,ocr_below_gate,16,49.0,0.0109,0.017,762,1000
0060078348,form,ok,163,55.5,0.1688,34.29,762,1000
0060080004,form,ok,201,61.3,0.1445,0.28,762,1000
0060094754,form,ok,128,58.8,0.0449,0.257,762,1000
0060096842,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
0071036270,form,ok,130,74.7,0.0146,0.462,762,1000
00922178,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
01073843,form,ok,152,55.5,0.0263,0.074,778,1000
01129514,form,ocr_below_gate,30,34.3,0.746,16.441,778,1000
03758562,form,ocr_below_gate,59,39.1,0.0988,2.677,766,1000
2022911194_2022911196,form,ok,261,55.8,0.2032,3.933,777,1000
2022916255,form,ok,72,55.3,0.2519,0.709,754,1000
2022925192,form,ok,70,65.8,0.066,12.189,797,1000
2024003102,form,ok,50,71.0,0.1284,8.89,777,1000
2024795599,form,ok,198,90.1,0.1031,0.234,778,1000
2024797733_2024797736,form,ok,107,80.8,0.0874,16.621,785,1000
2024847849,form,ok,218,87.6,0.2247,0.422,777,1000
2025325926,form,ok,219,72.7,0.1419,10.591,782,1000
2025895776_2025895777,form,ocr_below_gate,103,45.3,0.1082,0.555,773,1000
2025989284,form,ok,117,64.2,0.0777,3.492,777,1000
2026365190,form,ocr_below_gate,189,35.6,0.0436,0.09,777,1000
2026365726_2026365730,form,ok,128,82.0,0.1115,0.287,777,1000
2026403653,form,ok,128,56.4,0.0416,0.429,777,1000
2028593752,form,ok,154,74.2,0.1046,11.525,785,1000
2028822458,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2028832689,form,ocr_below_gate,150,34.3,0.1282,0.315,777,1000
2028834250,form,ocr_below_gate,96,47.5,0.0996,0.28,777,1000
2028874362,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2028877560,form,ok,264,76.0,0.8758,37.56,777,1000
2028879950,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2029026050,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2029178977_8978,form,ok,71,57.8,0.0804,2.218,754,1000
2029244376,form,ocr_below_gate,73,36.1,0.1039,0.602,779,1000
2029256816,form,ocr_below_gate,102,55.0,0.1221,0.309,777,1000
2030016748,form,ocr_below_gate,119,32.9,0.3708,10.898,763,1000
2030032768,form,ok,167,61.1,0.2312,0.364,759,1000
2030169739,form,ok,62,70.3,0.07,0.105,761,1000
2030310694,form,ocr_below_gate,114,45.5,0.0848,3.308,765,1000
2030354150_2030354151,form,ok,123,56.6,0.0418,1.743,777,1000
2030474320_2030474321,form,ocr_below_gate,181,51.0,0.1776,33.139,789,1000
2030585665,form,ok,238,76.2,0.0654,0.1,769,1000
2041793215,form,ocr_below_gate,92,54.3,0.1767,8.906,847,1000
2041818075,form,ok,32,58.4,0.3647,1.144,848,1000
2041916748,form,ok,108,59.0,0.2121,5.475,754,1000
2043429012,form,ok,73,81.7,0.072,0.14,776,1000
2043460294-a_2043460294-b,form,ocr_below_gate,334,26.3,0.1511,0.284,785,1000
2045468000,form,ok,102,65.9,0.213,15.049,794,1000
2046039536,form,ok,56,63.5,0.1546,0.521,754,1000
2046334702,form,ok,151,90.6,0.1611,0.497,754,1000
2046546273_6274,form,ok,108,71.1,0.1027,0.183,754,1000
2046807556,form,ok,101,56.3,0.1821,3.531,754,1000
2048579812,form,ocr_below_gate,84,38.2,0.1059,18.981,792,1000
2050017459,form,ocr_below_gate,123,43.9,0.1935,15.579,626,1000
2050642989_2050642992,form,ok,86,55.3,0.0966,1.487,645,1000
2050661828,form,ocr_below_gate,59,45.7,11.8061,97.35,611,1000
2050755264,form,ok,80,67.4,0.143,2.809,777,1000
2051390781,form,ocr_below_gate,112,37.2,0.0837,17.801,781,1000
2053464388_4389,form,ok,100,85.8,0.0995,0.159,754,1000
2054519026_2054519028,form,ok,82,84.7,0.0599,1.916,781,1000
2054630175,form,ok,127,87.3,0.1089,45.636,774,1000
2054949716_2054949717,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2055114663,form,ok,106,80.2,0.1361,10.767,848,1000
2055401021,form,ok,198,70.0,0.2201,16.723,787,1000
2058144620,form,ocr_below_gate,115,54.6,0.1605,10.435,780,1000
2061667701,form,ok,55,71.9,0.0443,0.102,779,1000
2061669019,form,ocr_below_gate,140,52.6,0.2578,24.237,785,1000
2061832180,form,ok,199,75.4,0.3829,2.51,788,1000
2062123298,form,ocr_below_gate,34,51.0,0.1752,5.474,794,1000
2062472781,form,ok,90,88.0,0.0487,0.084,764,1000
2063196638,form,ok,394,63.0,0.3911,26.234,802,1000
2063304296,form,ok,316,70.0,0.3094,23.099,754,1000
2063306907_6908,form,ok,177,57.1,0.4345,11.229,754,1000
2064231290,form,ok,270,65.4,0.4007,0.833,754,1000
2064342657,form,ok,127,82.1,0.0668,0.099,754,1000
2064510336,form,ok,261,65.8,0.4099,0.864,754,1000
2064812263,form,ok,54,68.9,0.1402,2.093,754,1000
2064847064,form,ok,105,61.8,0.1179,7.112,754,1000
2065063657_3658,form,ok,233,68.9,0.2105,5.687,754,1000
2065129105,form,ocr_below_gate,150,46.4,0.1964,5.908,754,1000
2065282836,form,ok,122,77.6,0.0939,0.137,754,1000
2065329469,form,ok,164,66.4,0.1475,0.448,754,1000
2065337370,form,ocr_below_gate,60,51.2,0.1645,0.337,754,1000
2065360166,form,ocr_below_gate,103,46.3,0.2515,6.302,754,1000
2069554151,form,ok,167,82.2,0.0915,0.205,754,1000
2069584064,form,ok,69,78.7,0.2094,39.236,754,1000
2070316542,form,ok,128,92.4,0.5272,1.122,754,1000
2070708848,form,ok,114,82.3,1.0239,9.632,754,1000
2070710128,form,ocr_below_gate,61,40.2,0.1073,0.202,754,1000
2071154490,form,ok,196,57.6,0.042,0.103,754,1000
2071218251,form,ok,48,71.4,0.0422,0.14,754,1000
2071258067,form,ok,158,76.3,0.0954,6.302,754,1000
2071517750,form,ok,204,70.1,0.1654,21.731,754,1000
2071789756,form,ok,98,73.8,0.0806,0.125,754,1000
2071972159,form,ok,152,83.3,0.0764,0.143,754,1000
2072682793_2794,form,ok,295,70.1,0.1684,24.977,754,1000
2072795857,form,ok,152,71.1,0.1729,20.021,754,1000
2072822511_2512,form,ok,186,71.3,0.1423,6.187,754,1000
2073085423,form,ok,144,84.8,0.1458,1.577,754,1000
2073184183,form,ok,120,78.3,0.1232,1.692,754,1000
2073316290,form,ok,103,59.1,0.3334,5.037,754,1000
2073701388,form,ok,38,76.3,0.1109,1.556,754,1000
2073712955,form,ocr_below_gate,411,50.8,0.1889,21.978,754,1000
2074249645_9646,form,ok,219,55.9,0.1714,18.7,754,1000
2074657875,form,ok,331,67.7,0.1805,0.528,754,1000
2074666677,form,ok,242,64.6,0.1776,1.747,754,1000
2074693116,form,ok,152,92.1,0.0923,0.181,754,1000
2074752007,form,ok,134,86.4,0.1469,0.297,754,1000
2074849687,form,ok,147,60.7,0.0606,0.088,754,1000
2075301965_1966,form,ok,161,78.8,0.2092,24.224,754,1000
2075371538,form,ok,41,71.4,0.0883,6.786,754,1000
2075461096,form,ok,91,63.4,0.1101,0.651,754,1000
2075487553,form,ok,65,72.3,0.028,0.045,754,1000
2075579431,form,ok,55,70.7,0.0215,0.035,754,1000
2077127773,form,ok,103,79.6,0.0381,0.069,754,1000
2077189526,form,ok,255,79.7,0.3117,14.215,754,1000
2077306630,form,ok,65,60.4,0.0662,11.415,754,1000
2077785647,form,ok,229,64.0,0.5479,21.489,754,1000
2077788970_8971,form,ok,262,63.3,0.1737,11.209,754,1000
2077852530,form,ok,210,80.5,0.2954,17.862,754,1000
2078637086_7087,form,ok,130,72.7,0.0623,18.668,754,1000
2080024502,form,ok,127,83.7,0.0668,0.143,754,1000
2080464525,form,ok,265,78.0,0.1683,22.207,754,1000
2080475727,form,ok,82,62.8,0.0532,11.685,754,1000
2080958385,form,ok,158,73.4,0.1844,1.348,754,1000
2081532568,form,ocr_below_gate,42,49.4,0.1391,1.751,754,1000
2081977143,form,ok,46,78.4,0.1443,0.276,802,1000
2082226801,form,ocr_below_gate,55,39.5,0.0243,0.033,754,1000
2082424994,form,ok,249,73.9,0.1328,2.86,754,1000
2083397497,form,ok,125,71.0,0.1609,6.22,754,1000
2083813274,form,ok,78,64.2,0.0622,10.467,754,1000
2083838624,form,ok,74,66.5,0.0493,0.129,754,1000
2084085291,form,ok,49,70.6,0.1362,0.43,754,1000
2084090727,form,ok,55,60.8,0.204,0.658,754,1000
2084093448,form,ocr_below_gate,56,33.8,0.0255,0.044,754,1000
2084107590,form,ocr_below_gate,63,33.4,0.0357,0.175,754,1000
2084108049,form,ocr_below_gate,56,48.4,0.0164,0.024,754,1000
2084111300,form,ocr_below_gate,75,53.6,0.0528,0.54,754,1000
2084609948,form,ok,65,66.5,0.0223,0.033,754,1000
2086078706,form,ok,69,87.0,0.1582,5.874,754,1000
2086079145,form,ok,94,77.5,0.1172,0.434,754,1000
2086080681,form,ok,110,80.2,0.0801,3.191,754,1000
2086082984,form,ocr_below_gate,192,51.1,0.1898,0.291,754,1000
2086086547,form,ok,166,65.9,0.0484,0.126,754,1000
2500053972,form,ok,60,81.5,0.1757,4.804,771,1000
2501231409,form,ocr_below_gate,97,36.8,0.2181,13.531,725,1000
2501277134_2501277135,form,ok,87,68.5,0.0815,0.147,802,1000
2502174466,form,ok,77,72.4,0.0842,3.048,754,1000
2503000390,form,ok,97,76.6,0.0487,0.072,794,1000
2504027415,form,ok,123,59.3,0.0694,0.165,754,1000
2505103251,form,ok,72,76.2,0.0146,0.02,754,1000
2505123021,form,ok,131,64.6,0.1031,0.259,754,1000
2505146601,form,ok,123,74.3,0.0284,0.047,754,1000
2505149051_9052,form,ocr_below_gate,224,39.6,0.1873,12.335,754,1000
2505158951,form,ok,33,68.9,0.5277,30.63,754,1000
2505158993,form,ok,55,58.0,0.2309,11.712,754,1000
2505163123,form,ok,107,60.0,0.1408,3.734,754,1000
2505203784,form,ok,220,64.8,0.23,39.945,754,1000
2505233933_3934,form,ok,86,82.1,0.2655,21.358,754,1000
2505233972_3973,form,ok,124,84.2,0.1243,18.985,754,1000
2505287858,form,ok,166,83.1,0.185,14.542,754,1000
2505336733,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
2505396023,form,ok,83,64.3,0.1081,3.39,754,1000
2505406844,form,ok,82,64.6,0.0951,10.791,754,1000
2505411616,form,ok,87,62.0,0.0934,1.294,754,1000
2505411672,form,ok,68,63.9,0.0344,0.049,754,1000
2505411799_1800,form,ok,135,79.1,0.1354,12.95,754,1000
2505434022,form,ok,51,71.4,0.0775,0.667,754,1000
501200033,form,ok,188,76.5,0.1516,0.313,796,1000
502526100,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
502942125+-2125,form,ocr_below_gate,84,34.8,0.2763,15.454,754,1000
505758993+-8996,form,ok,356,75.0,0.2897,25.872,754,1000
506053435+-3435,form,ok,85,83.5,0.0263,0.064,754,1000
506077522+-7525,form,ok,131,77.6,0.2638,43.076,754,1000
506319593,form,ocr_below_gate,110,43.8,0.072,11.202,763,1000
507257942+-7942,form,ocr_below_gate,219,34.7,0.5345,1.898,754,1000
507562635+-2640,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
508881563+-1563,form,ok,116,66.5,0.055,0.121,754,1000
510806648,form,ok,208,66.9,0.1922,2.011,778,1000
511995576_511995578,form,ok,229,93.5,0.2234,0.616,781,1000
512421308_512421309,form,ok,227,81.4,0.4206,7.232,793,1000
512562990_512562991,form,ok,31,69.5,0.1138,0.376,775,1000
512718981_512718984,form,ok,217,90.9,0.3619,16.54,787,1000
512873930,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
512980631,form,ok,263,63.4,0.1793,32.74,778,1000
513269283,form,ok,120,66.9,0.0438,14.161,784,1000
514137116+-7116,form,ok,95,61.8,0.0308,49.259,754,1000
515248202+-8202,form,ok,226,77.2,0.1133,30.428,754,1000
515615932+-5933,form,ok,308,80.6,0.0691,8.222,754,1000
515624433+-4433,form,ocr_below_gate,271,34.9,0.1126,8.19,754,1000
517446435+-6435,form,ok,228,60.3,0.1341,6.98,754,1000
518048378,form,ocr_below_gate,99,53.6,0.1478,19.165,785,1000
518057760,form,ocr_below_gate,25,14.3,0.1493,11.966,787,1000
518243607+-3609,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
518446049+-6049,form,ok,153,76.3,0.1473,23.157,754,1000
518689732+-9734,form,ocr_below_gate,379,46.6,0.0424,2.138,754,1000
520233316+-3420,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
521536950+-6950,form,ok,304,68.9,0.1416,15.888,754,1000
521702143+-2146,form,ocr_below_gate,228,45.6,0.0698,17.116,754,1000
521702177+-2180,form,ok,148,68.7,0.0862,9.021,754,1000
521702288+-2288,form,ocr_below_gate,207,49.1,0.12,25.054,754,1000
521820980+-0985,form,ok,111,70.6,6.2598,57.201,754,1000
522691962+-1962,form,ok,177,73.4,0.371,30.316,754,1000
522827676+-7676,form,ocr_below_gate,291,50.7,0.0891,25.488,754,1000
522838187+-8192,form,ocr_below_gate,180,41.9,0.1373,9.974,754,1000
523197444+-7444,form,ocr_below_gate,140,48.6,0.0674,15.347,754,1000
523545212+-5212,form,timeout,101,82.2,0.0345,0.048,754,1000
524217890+-7890,form,ok,326,57.7,0.2107,0.56,754,1000
71470351,form,ok,75,79.7,0.0235,1.538,762,1000
80415917_80416007,form,ocr_below_gate,205,48.9,0.0665,0.117,775,1000
83925160_5161,form,ok,26,70.3,0.1702,0.286,754,1000
87497620_87497621,form,ocr_below_gate,54,50.9,0.0821,0.216,767,1000
88550002,form,ok,171,55.1,0.034,1.096,754,1000
89933555,form,ok,125,79.0,0.1422,6.92,863,1000
92449307,form,ocr_below_gate,276,52.1,0.1224,8.963,754,1000
92600841_0845,form,ocr_below_gate,21,86.2,0.0284,0.042,754,1000
92855011,form,ok,203,57.6,0.1118,3.413,802,1000
93261706,form,ok,145,91.2,0.0488,0.098,754,1000
94408048_94408050,form,ocr_below_gate,99,45.6,0.0651,16.999,789,1000
94415027,form,ok,186,76.5,0.0925,12.78,772,1000
94529295,form,ok,122,78.0,0.1411,7.824,784,1000
95878875_8877,form,ok,91,73.9,0.0558,0.092,754,1000
95968365_8368,form,ok,524,83.6,0.3761,18.405,754,1000
96377421,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
98040195,form,ok,122,79.4,0.07,0.748,754,1000
98105946,form,unaligned_or_identical,0,0.0,0.0,0.0,0,0
98506233,form,ocr_below_gate,146,37.0,0.1586,0.431,754,1000
98631524_1527,form,ocr_below_gate,149,49.3,0.0204,0.183,754,1000
99382089,form,ok,100,62.3,0.0275,0.042,754,1000
99488431,form,ok,165,55.4,0.1575,0.381,802,1000
500002030,handwritten,ocr_below_gate,0,0.0,0.2263,0.527,784,1000
500064863_500064869,handwritten,ocr_below_gate,51,28.1,0.1409,0.607,784,1000
500328162+-8162,handwritten,ocr_below_gate,91,33.1,0.3292,7.584,754,1000
500389366+-9366,handwritten,ocr_below_gate,12,31.8,0.2537,17.813,754,1000
500549754_500549755,handwritten,ocr_below_gate,298,41.7,0.5661,51.409,774,1000
