file,arm,peak,rawmax,meanprob,secs
0000260163,original,0.0000,0.4635,0.051325,2.9
0000260163,edited,0.0000,0.4330,0.051047,2.8
0000260163,reauthored,0.9015,0.9015,0.047667,2.1
0000260163,reauth_ctrl,0.9018,0.9018,0.047767,2.3
0000333206,original,0.0000,0.4444,0.054823,3.1
0000333206,edited,0.0000,0.4535,0.055112,2.2
0000333206,reauthored,0.8035,0.8035,0.048736,2.4
0000333206,reauth_ctrl,0.8567,0.8567,0.041948,2.3
0000723852,original,0.6189,0.6189,0.043273,2.3
0000723852,edited,0.6089,0.6089,0.043104,2.2
0000723852,reauthored,0.9571,0.9571,0.049849,2.4
0000723852,reauth_ctrl,0.9444,0.9444,0.047986,2.3
0000942319,original,0.0000,0.5121,0.060728,2.2
0000942319,edited,0.0000,0.4433,0.060417,2.3
0000942319,reauthored,0.9705,0.9705,0.045247,2.3
0000942319,reauth_ctrl,0.8256,0.8256,0.044793,2.2
0000945035,original,0.0000,0.4675,0.055934,2.8
0000945035,edited,0.0000,0.4701,0.055895,2.3
0000945035,reauthored,0.7416,0.7416,0.040170,2.3
0000945035,reauth_ctrl,0.7340,0.7340,0.039998,2.4
0000949066,original,0.5453,0.5453,0.059089,2.4
0000949066,edited,0.5411,0.5411,0.059376,2.4
0000949066,reauthored,0.7683,0.7683,0.048830,2.4
0000949066,reauth_ctrl,0.9164,0.9164,0.049317,2.5
0001076990,original,0.5430,0.5430,0.049276,2.4
0001076990,edited,0.5405,0.5405,0.049506,2.4
0001076990,reauthored,0.6809,0.6809,0.037507,2.5
0001076990,reauth_ctrl,0.6610,0.6610,0.037339,2.5
0001230809,original,0.0000,0.3861,0.045218,2.4
0001230809,edited,0.0000,0.3933,0.045156,2.5
0001230809,reauthored,0.9202,0.9202,0.038815,2.5
0001230809,reauth_ctrl,0.7827,0.7827,0.038465,2.5
0001239171,original,0.0000,0.5145,0.053905,2.5
0001239171,edited,0.0000,0.4905,0.053879,2.5
0001239171,reauthored,0.9635,0.9635,0.041088,2.5
0001239171,reauth_ctrl,0.9949,0.9949,0.042149,2.7
0001439080,original,0.0000,0.4804,0.049325,2.5
0001439080,edited,0.0000,0.4557,0.049652,2.5
0001439080,reauthored,0.6185,0.6185,0.041612,2.7
0001439080,reauth_ctrl,0.9893,0.9893,0.047353,2.6
0001439146,original,0.6826,0.6826,0.050752,2.5
0001439146,edited,0.6741,0.6741,0.050775,2.5
0001439146,reauthored,0.5664,0.5664,0.039903,2.6
0001439146,reauth_ctrl,0.5454,0.5454,0.039383,2.6
0001450997,original,0.0000,0.4954,0.049454,2.6
0001450997,edited,0.0000,0.4847,0.049752,2.6
0001450997,reauthored,0.5565,0.5565,0.041376,2.6
0001450997,reauth_ctrl,0.0000,0.4744,0.041104,2.7
0001453135,original,0.5622,0.5622,0.048088,2.6
0001453135,edited,0.5486,0.5486,0.048079,2.7
0001453135,reauthored,0.9947,0.9947,0.041921,2.6
0001453135,reauth_ctrl,0.9719,0.9719,0.043464,2.7
0001455550,original,0.5278,0.5278,0.054132,2.6
0001455550,edited,0.0000,0.5181,0.054257,2.7
0001455550,reauthored,0.9176,0.9176,0.041291,2.7
0001455550,reauth_ctrl,0.9487,0.9487,0.041061,2.7
0001459869,original,0.0000,0.4940,0.065004,2.8
0001459869,edited,0.0000,0.4967,0.065559,2.7
0001459869,reauthored,0.8017,0.8017,0.052076,2.8
0001459869,reauth_ctrl,0.8578,0.8578,0.051649,2.7
0001460408,original,0.5439,0.5439,0.060196,2.7
0001460408,edited,0.0000,0.5237,0.059904,2.7
0001460408,reauthored,0.5321,0.5321,0.040240,2.8
0001460408,reauth_ctrl,0.5278,0.5278,0.039785,2.8
0001460963,original,0.5433,0.5433,0.052175,2.7
0001460963,edited,0.5276,0.5339,0.052109,2.7
0001460963,reauthored,0.5798,0.5798,0.039142,4.1
0001460963,reauth_ctrl,0.5804,0.5804,0.038940,2.8
00043194,original,0.0000,0.4764,0.058490,2.9
00043194,edited,0.0000,0.4772,0.058457,2.8
00043194,reauthored,0.8237,0.8237,0.043682,2.9
00043194,reauth_ctrl,0.8237,0.8237,0.043731,2.8
00060713,original,0.5447,0.5447,0.058813,2.8
00060713,edited,0.5441,0.5441,0.058825,2.8
00060713,reauthored,0.5981,0.5981,0.045485,2.7
00060713,reauth_ctrl,0.6003,0.6003,0.046212,2.8
00073440_00073443,original,0.0000,0.4766,0.059950,2.8
00073440_00073443,edited,0.0000,0.4675,0.059665,2.8
00073440_00073443,reauthored,0.5673,0.5673,0.037452,2.8
00073440_00073443,reauth_ctrl,0.5609,0.5609,0.037638,3.2
0011747977,original,0.0000,0.5042,0.047143,2.8
0011747977,edited,0.0000,0.4910,0.047352,3.1
0011747977,reauthored,0.9936,0.9936,0.060199,2.9
0011747977,reauth_ctrl,0.9935,0.9935,0.057618,2.9
0011834250,original,0.5791,0.5791,0.050265,3.0
0011834250,edited,0.6145,0.6145,0.050621,2.9
0011834250,reauthored,0.5538,0.5538,0.036923,2.8
0011834250,reauth_ctrl,0.5537,0.5537,0.036924,2.9
0011897106,original,0.5563,0.5563,0.050993,2.8
0011897106,edited,0.5444,0.5444,0.051059,2.9
0011897106,reauthored,0.7363,0.7363,0.043484,3.7
0011897106,reauth_ctrl,0.9441,0.9441,0.050397,3.3
0011905408,original,0.5854,0.5854,0.047375,2.9
0011905408,edited,0.5945,0.5945,0.047482,3.8
0011905408,reauthored,0.9584,0.9584,0.043625,2.8
0011905408,reauth_ctrl,0.7689,0.7689,0.042434,3.0
0011910127,original,0.6611,0.6611,0.046092,3.0
0011910127,edited,0.6564,0.6564,0.046263,3.6
0011910127,reauthored,0.9671,0.9671,0.043463,2.7
0011910127,reauth_ctrl,0.9588,0.9588,0.043305,2.9
0011916266,original,0.0000,0.4771,0.053725,2.8
0011916266,edited,0.0000,0.4562,0.053917,2.8
0011916266,reauthored,0.9965,0.9965,0.051471,2.8
0011916266,reauth_ctrl,0.9966,0.9966,0.052522,2.7
0011929750,original,0.0000,0.5376,0.044056,3.0
0011929750,edited,0.0000,0.5203,0.044102,2.9
0011929750,reauthored,0.5908,0.5908,0.038017,2.9
0011929750,reauth_ctrl,0.9826,0.9826,0.043807,2.8
0011934079,original,0.0000,0.4205,0.047179,3.0
0011934079,edited,0.0000,0.4217,0.047321,3.1
0011934079,reauthored,0.0000,0.3509,0.035426,3.3
0011934079,reauth_ctrl,0.0000,0.2819,0.035514,2.9
0012182647,original,0.5731,0.5731,0.049486,2.8
0012182647,edited,0.5660,0.5660,0.049781,2.8
0012182647,reauthored,0.9398,0.9398,0.042570,3.1
0012182647,reauth_ctrl,0.8984,0.8984,0.042235,2.7
0012184428,original,0.6048,0.6048,0.041254,2.8
0012184428,edited,0.6123,0.6123,0.041390,2.8
0012184428,reauthored,0.5640,0.5640,0.034940,2.7
0012184428,reauth_ctrl,0.5544,0.5544,0.034860,2.8
0012189284,original,0.0000,0.4996,0.054617,2.8
0012189284,edited,0.0000,0.4960,0.054771,3.8
0012189284,reauthored,0.5988,0.5988,0.039187,5.0
0012189284,reauth_ctrl,0.6002,0.6002,0.039120,5.3
0012190486,original,0.0000,0.5026,0.056359,4.4
0012190486,edited,0.0000,0.5174,0.056340,3.7
0012190486,reauthored,0.5839,0.5839,0.040163,3.5
0012190486,reauth_ctrl,0.9855,0.9855,0.043307,5.0
0012206537,original,0.0000,0.4912,0.054262,5.3
0012206537,edited,0.0000,0.4857,0.054161,3.0
0012206537,reauthored,0.9880,0.9880,0.043640,3.3
0012206537,reauth_ctrl,0.9814,0.9814,0.044485,5.2
0012207187,original,0.5770,0.5770,0.060736,3.5
0012207187,edited,0.5553,0.5553,0.060470,3.3
0012207187,reauthored,0.5662,0.5662,0.039257,3.3
0012207187,reauth_ctrl,0.6281,0.6281,0.035183,3.4
0012214435,original,0.0000,0.4750,0.051263,3.4
0012214435,edited,0.0000,0.4978,0.051125,3.1
0012214435,reauthored,0.5665,0.5665,0.041609,3.2
0012214435,reauth_ctrl,0.0000,0.5032,0.045148,3.2
0012229680,original,0.0000,0.4602,0.056970,3.0
0012229680,edited,0.0000,0.4690,0.057224,3.1
0012229680,reauthored,0.6108,0.6108,0.039323,3.0
0012229680,reauth_ctrl,0.9947,0.9947,0.042302,3.0
0012285276,original,0.0000,0.2849,0.038616,3.2
0012285276,edited,0.0000,0.2741,0.038815,3.1
0012285276,reauthored,0.5786,0.5786,0.038567,3.1
0012285276,reauth_ctrl,0.5601,0.5601,0.038505,3.1
0012286839,original,0.0000,0.4826,0.071987,3.0
0012286839,edited,0.0000,0.4915,0.071814,3.0
0012286839,reauthored,0.0000,0.5079,0.042203,3.0
0012286839,reauth_ctrl,0.0000,0.4996,0.042229,3.0
0012287015,original,0.6430,0.6430,0.054552,3.3
0012287015,edited,0.6248,0.6248,0.054596,3.0
0012287015,reauthored,0.6250,0.6250,0.041820,3.0
0012287015,reauth_ctrl,0.9867,0.9867,0.047111,3.1
0012883913,original,0.0000,0.4733,0.055040,2.9
0012883913,edited,0.0000,0.4631,0.055293,2.9
0012883913,reauthored,0.8596,0.8596,0.057064,3.2
0012883913,reauth_ctrl,0.7557,0.7557,0.050223,3.0
0013001762,original,0.0000,0.4522,0.057545,3.0
0013001762,edited,0.0000,0.4755,0.057779,3.0
0013001762,reauthored,0.5585,0.5585,0.040487,3.0
0013001762,reauth_ctrl,0.5533,0.5533,0.040464,3.3
0013403839,original,0.5239,0.5239,0.053039,3.8
0013403839,edited,0.0000,0.5090,0.053056,2.6
0013403839,reauthored,0.6158,0.6158,0.039384,2.7
0013403839,reauth_ctrl,0.9400,0.9400,0.046590,2.7
0013502467,original,0.5271,0.5271,0.060065,2.7
0013502467,edited,0.0000,0.5002,0.059736,2.7
0013502467,reauthored,0.8985,0.8985,0.045740,2.6
0013502467,reauth_ctrl,0.9203,0.9203,0.045434,2.5
00480124_0126,original,0.0000,0.4560,0.055528,2.6
00480124_0126,edited,0.0000,0.4408,0.055477,2.5
00480124_0126,reauthored,0.9432,0.9432,0.045927,2.5
00480124_0126,reauth_ctrl,0.9458,0.9458,0.046144,2.6
0055502471,original,0.0000,0.4491,0.043492,2.5
0055502471,edited,0.0000,0.4432,0.043068,2.5
0055502471,reauthored,0.9959,0.9959,0.039353,2.5
0055502471,reauth_ctrl,0.9959,0.9959,0.038059,2.5
0060008570,original,0.5530,0.5530,0.056466,2.6
0060008570,edited,0.0000,0.5113,0.056663,2.6
0060008570,reauthored,0.7393,0.7393,0.043499,2.6
0060008570,reauth_ctrl,0.7567,0.7567,0.043177,2.6
0060009845,original,0.5532,0.5532,0.067939,2.6
0060009845,edited,0.0000,0.5015,0.067894,2.6
0060009845,reauthored,0.9987,0.9987,0.050794,3.1
0060009845,reauth_ctrl,0.9983,0.9983,0.050564,2.6
0060012166,original,0.0000,0.4634,0.056045,3.0
0060012166,edited,0.0000,0.4613,0.056270,2.6
0060012166,reauthored,0.6757,0.6757,0.041824,2.6
0060012166,reauth_ctrl,0.7044,0.7044,0.041686,2.6
0060013262,original,0.0000,0.4347,0.055432,2.6
0060013262,edited,0.0000,0.4239,0.055341,2.5
0060013262,reauthored,0.9104,0.9104,0.050466,2.5
0060013262,reauth_ctrl,0.7657,0.7657,0.047724,2.6
0060014215,original,0.5693,0.5693,0.048201,2.6
0060014215,edited,0.0000,0.4860,0.048376,2.8
0060014215,reauthored,0.0000,0.4510,0.037006,2.8
0060014215,reauth_ctrl,0.0000,0.4465,0.036954,2.8
0060014843,original,0.0000,0.5237,0.059286,2.5
0060014843,edited,0.0000,0.5280,0.059485,2.5
0060014843,reauthored,0.0000,0.4797,0.038045,2.6
0060014843,reauth_ctrl,0.0000,0.4756,0.038095,2.5
0060026309,original,0.0000,0.5052,0.056814,2.5
0060026309,edited,0.0000,0.4930,0.057302,2.5
0060026309,reauthored,0.8657,0.8657,0.049312,2.5
0060026309,reauth_ctrl,0.5481,0.5481,0.041400,2.5
0060027381,original,0.5606,0.5606,0.046296,2.6
0060027381,edited,0.5659,0.5659,0.046304,2.6
0060027381,reauthored,0.6521,0.6521,0.043941,2.6
0060027381,reauth_ctrl,0.5750,0.5750,0.043168,3.0
0060031784,original,0.5567,0.5567,0.044103,2.6
0060031784,edited,0.5560,0.5560,0.044155,2.7
0060031784,reauthored,0.0000,0.5461,0.035581,2.5
0060031784,reauth_ctrl,0.0000,0.5531,0.034928,2.9
0060032039,original,0.0000,0.4664,0.043509,2.7
0060032039,edited,0.0000,0.4651,0.043298,2.5
0060032039,reauthored,0.9792,0.9792,0.040575,2.5
0060032039,reauth_ctrl,0.6904,0.6904,0.037265,2.6
0060051594,original,0.0000,0.4877,0.049915,2.7
0060051594,edited,0.0000,0.4906,0.049861,2.6
0060051594,reauthored,0.0000,0.5168,0.037671,2.6
0060051594,reauth_ctrl,0.9625,0.9625,0.037994,2.6
0060064594,original,0.5746,0.5746,0.044596,2.7
0060064594,edited,0.5880,0.5880,0.044400,2.8
0060064594,reauthored,0.6550,0.6550,0.041577,2.8
0060064594,reauth_ctrl,0.6133,0.6133,0.041360,2.4
0060075043,original,0.5311,0.5311,0.049377,2.6
0060075043,edited,0.5470,0.5470,0.049264,2.9
0060075043,reauthored,0.5685,0.5685,0.038322,2.6
0060075043,reauth_ctrl,0.5527,0.5527,0.038419,3.0
0060078348,original,0.0000,0.5432,0.051412,2.7
0060078348,edited,0.0000,0.4766,0.051541,2.7
0060078348,reauthored,0.9896,0.9896,0.061031,2.7
0060078348,reauth_ctrl,0.9828,0.9828,0.044843,2.7
0060080004,original,0.0000,0.4936,0.057204,2.7
0060080004,edited,0.0000,0.4891,0.057332,2.7
0060080004,reauthored,0.9947,0.9947,0.052339,2.6
0060080004,reauth_ctrl,0.9659,0.9659,0.050026,2.5
0060080760,original,0.0000,0.5315,0.048710,2.6
0060080760,edited,0.0000,0.5008,0.048409,2.5
0060080760,reauthored,0.0000,0.5325,0.039991,2.5
0060080760,reauth_ctrl,0.9815,0.9815,0.042966,2.5
0060082098,original,0.0000,0.4503,0.058651,2.7
0060082098,edited,0.0000,0.4247,0.058451,2.5
0060082098,reauthored,0.7701,0.7701,0.046266,2.5
0060082098,reauth_ctrl,0.5741,0.5741,0.042020,2.5
0060083495,original,0.6682,0.6682,0.062730,2.7
0060083495,edited,0.7116,0.7116,0.062655,2.5
0060083495,reauthored,0.5801,0.5801,0.052159,2.4
0060083495,reauth_ctrl,0.6234,0.6234,0.050675,2.6
0060088947,original,0.0000,0.4899,0.055990,2.5
0060088947,edited,0.0000,0.4725,0.055970,2.5
0060088947,reauthored,0.9934,0.9934,0.042946,2.6
0060088947,reauth_ctrl,0.9928,0.9928,0.042757,2.7
0060094186,original,0.0000,0.5401,0.062040,2.6
0060094186,edited,0.0000,0.4803,0.062030,2.5
0060094186,reauthored,0.9168,0.9168,0.045506,2.4
0060094186,reauth_ctrl,0.8958,0.8958,0.044987,2.5
0060094754,original,0.0000,0.4620,0.048631,2.4
0060094754,edited,0.0000,0.4668,0.048639,2.4
0060094754,reauthored,0.9336,0.9336,0.053930,2.4
0060094754,reauth_ctrl,0.9533,0.9533,0.054747,2.4
0060106660,original,0.0000,0.5197,0.046438,2.4
0060106660,edited,0.5265,0.5265,0.046285,2.5
0060106660,reauthored,0.5581,0.5581,0.039181,2.4
0060106660,reauth_ctrl,0.5579,0.5579,0.039268,2.4
0060109015,original,0.0000,0.4369,0.054593,2.4
0060109015,edited,0.0000,0.4410,0.054698,2.5
0060109015,reauthored,0.9995,0.9995,0.050447,2.4
0060109015,reauth_ctrl,0.0000,0.4763,0.038310,2.4
0060121960,original,0.0000,0.5030,0.043479,2.4
0060121960,edited,0.0000,0.5414,0.043719,2.4
0060121960,reauthored,0.9629,0.9629,0.041986,2.4
0060121960,reauth_ctrl,0.9873,0.9873,0.047396,2.5
0060122720,original,0.0000,0.4971,0.046649,2.4
0060122720,edited,0.0000,0.5016,0.046668,2.4
0060122720,reauthored,0.0000,0.4970,0.036646,2.5
0060122720,reauth_ctrl,0.0000,0.4970,0.036596,2.5
0060123781,original,0.0000,0.5136,0.061294,2.5
0060123781,edited,0.0000,0.5102,0.061377,2.6
0060123781,reauthored,0.9106,0.9106,0.044124,2.5
0060123781,reauth_ctrl,0.5938,0.5938,0.040420,2.5
0060123835,original,0.0000,0.5371,0.057714,2.6
0060123835,edited,0.5621,0.5621,0.057780,2.4
0060123835,reauthored,0.8938,0.8938,0.042287,2.5
0060123835,reauth_ctrl,0.0000,0.4955,0.038379,2.5
0060139095,original,0.0000,0.4753,0.059920,2.6
0060139095,edited,0.0000,0.4720,0.060090,2.4
0060139095,reauthored,0.8173,0.8173,0.043923,2.5
0060139095,reauth_ctrl,0.9041,0.9041,0.043182,2.4
0060142651,original,0.5608,0.5608,0.050484,2.4
0060142651,edited,0.5788,0.5788,0.050862,2.4
0060142651,reauthored,0.8268,0.8268,0.046806,2.4
0060142651,reauth_ctrl,0.8580,0.8580,0.048333,2.5
0060142979,original,0.0000,0.4622,0.062825,2.4
0060142979,edited,0.0000,0.4420,0.063045,2.7
0060142979,reauthored,0.5580,0.5580,0.046607,2.7
0060142979,reauth_ctrl,0.5778,0.5778,0.046367,2.7
0060146003,original,0.5588,0.5588,0.048086,2.6
0060146003,edited,0.5387,0.5387,0.048084,2.6
0060146003,reauthored,0.0000,0.4949,0.037106,2.6
0060146003,reauth_ctrl,0.0000,0.5103,0.037389,2.5
0060150468,original,0.0000,0.4542,0.070611,2.6
0060150468,edited,0.0000,0.5052,0.070526,2.6
0060150468,reauthored,0.6537,0.6537,0.046187,2.5
0060150468,reauth_ctrl,0.7154,0.7154,0.046417,2.6
0060159247,original,0.0000,0.5002,0.050858,2.7
0060159247,edited,0.0000,0.5068,0.050789,2.9
0060159247,reauthored,0.0000,0.5465,0.038739,2.5
0060159247,reauth_ctrl,0.0000,0.5127,0.038574,2.5
0060165376,original,0.0000,0.4548,0.049180,2.6
0060165376,edited,0.0000,0.4595,0.049212,2.5
0060165376,reauthored,0.9981,0.9981,0.042185,2.5
0060165376,reauth_ctrl,0.5756,0.5756,0.038921,2.5
0060173666,original,0.0000,0.3482,0.071040,2.8
0060173666,edited,0.0000,0.3507,0.070981,2.9
0060173666,reauthored,0.9824,0.9824,0.055349,2.5
0060173666,reauth_ctrl,0.8193,0.8193,0.057376,2.8
0060198183,original,0.0000,0.4854,0.066525,2.5
0060198183,edited,0.0000,0.4832,0.065477,2.4
0060198183,reauthored,0.5517,0.5517,0.042848,2.7
0060198183,reauth_ctrl,0.5602,0.5602,0.041997,2.4
0060201834,original,0.0000,0.4368,0.043596,2.4
0060201834,edited,0.0000,0.4426,0.043587,2.7
0060201834,reauthored,0.8388,0.8388,0.043435,2.3
0060201834,reauth_ctrl,0.8748,0.8748,0.043585,2.9
0060243529,original,0.0000,0.5052,0.061833,2.7
0060243529,edited,0.5268,0.5268,0.061924,2.4
0060243529,reauthored,0.9934,0.9934,0.052833,2.4
0060243529,reauth_ctrl,0.9916,0.9916,0.054107,2.8
0060250360,original,0.0000,0.5052,0.062926,2.5
0060250360,edited,0.0000,0.5115,0.062951,2.4
0060250360,reauthored,0.9826,0.9826,0.044079,2.4
0060250360,reauth_ctrl,0.9821,0.9821,0.045951,2.5
0060274988,original,0.0000,0.4632,0.060339,2.5
0060274988,edited,0.0000,0.4467,0.060997,2.4
0060274988,reauthored,0.9643,0.9643,0.045281,2.5
0060274988,reauth_ctrl,0.9438,0.9438,0.044802,2.6
0060281077,original,0.0000,0.4521,0.060765,2.4
0060281077,edited,0.0000,0.4589,0.061052,2.4
0060281077,reauthored,0.9831,0.9831,0.054112,2.4
0060281077,reauth_ctrl,0.9798,0.9798,0.053751,2.6
0060284223,original,0.0000,0.4714,0.044973,2.5
0060284223,edited,0.0000,0.4920,0.045112,3.0
0060284223,reauthored,0.6801,0.6801,0.039177,2.6
0060284223,reauth_ctrl,0.7032,0.7032,0.040012,3.2
0060298297,original,0.6061,0.6061,0.051056,2.5
0060298297,edited,0.5736,0.5736,0.051145,2.7
0060298297,reauthored,0.8028,0.8028,0.037949,2.7
0060298297,reauth_ctrl,0.6553,0.6553,0.038984,2.5
0060315216,original,0.0000,0.5358,0.047170,2.7
0060315216,edited,0.0000,0.5345,0.047158,2.4
0060315216,reauthored,0.0000,0.4171,0.036322,2.7
0060315216,reauth_ctrl,0.0000,0.4171,0.036501,2.7
0060317439,original,0.0000,0.4220,0.064993,2.7
0060317439,edited,0.0000,0.4387,0.065241,2.5
0060317439,reauthored,0.0000,0.3926,0.040215,2.6
0060317439,reauth_ctrl,0.0000,0.3882,0.040212,2.5
0060318545,original,0.5321,0.5349,0.061507,2.5
0060318545,edited,0.5512,0.5512,0.061406,2.5
0060318545,reauthored,0.6155,0.6155,0.044326,2.7
0060318545,reauth_ctrl,0.0000,0.4754,0.044462,2.7
0071003654,original,0.0000,0.4799,0.064139,2.8
0071003654,edited,0.0000,0.4831,0.064045,2.7
0071003654,reauthored,0.6185,0.6185,0.049653,2.6
0071003654,reauth_ctrl,0.8472,0.8472,0.054051,2.9
0071017907,original,0.5582,0.5582,0.053744,2.8
0071017907,edited,0.5698,0.5698,0.053788,2.5
0071017907,reauthored,0.0000,0.3582,0.038005,2.8
0071017907,reauth_ctrl,0.0000,0.3516,0.037910,4.4
0071027709,original,0.5376,0.5376,0.057582,2.9
0071027709,edited,0.5421,0.5421,0.057663,2.7
0071027709,reauthored,0.5610,0.5610,0.041613,2.7
0071027709,reauth_ctrl,0.5671,0.5671,0.041589,2.6
0071032459,original,0.0000,0.4293,0.062527,2.7
0071032459,edited,0.0000,0.4394,0.063339,2.7
0071032459,reauthored,0.9960,0.9960,0.056920,2.6
0071032459,reauth_ctrl,0.9966,0.9966,0.056580,2.9
0071036270,original,0.0000,0.5038,0.054984,2.8
0071036270,edited,0.0000,0.5085,0.054914,2.6
0071036270,reauthored,0.7409,0.7409,0.048092,2.6
0071036270,reauth_ctrl,0.9931,0.9931,0.047358,2.6
0071037873,original,0.5640,0.5640,0.046898,2.8
0071037873,edited,0.5490,0.5490,0.047129,2.7
0071037873,reauthored,0.0000,0.5397,0.037940,2.5
0071037873,reauth_ctrl,0.0000,0.5243,0.037993,2.5
0071041860,original,0.0000,0.5215,0.067652,2.5
0071041860,edited,0.0000,0.5163,0.067630,2.8
0071041860,reauthored,0.8008,0.8008,0.043275,2.6
0071041860,reauth_ctrl,0.8092,0.8092,0.043000,2.5
0071063349,original,0.0000,0.5110,0.047667,2.5
0071063349,edited,0.0000,0.4892,0.047674,2.6
0071063349,reauthored,0.0000,0.4094,0.037286,2.6
0071063349,reauth_ctrl,0.0000,0.3925,0.036617,2.6
0071064529,original,0.0000,0.5197,0.045619,2.5
0071064529,edited,0.0000,0.5202,0.045603,2.5
0071064529,reauthored,0.8992,0.8992,0.040175,2.6
0071064529,reauth_ctrl,0.9523,0.9523,0.038693,2.5
00920638,original,0.5364,0.5364,0.052366,2.5
00920638,edited,0.5386,0.5386,0.052159,2.5
00920638,reauthored,0.8865,0.8865,0.049721,2.5
00920638,reauth_ctrl,0.8226,0.8226,0.049902,2.5
00920717,original,0.5733,0.5733,0.050747,2.5
00920717,edited,0.5749,0.5749,0.050959,2.5
00920717,reauthored,0.8352,0.8352,0.047580,2.5
00920717,reauth_ctrl,0.9965,0.9965,0.047343,2.5
00966316,original,0.0000,0.4390,0.058087,2.5
00966316,edited,0.0000,0.3935,0.058360,2.5
00966316,reauthored,0.9910,0.9910,0.048337,2.5
00966316,reauth_ctrl,0.9913,0.9913,0.048253,2.7
01073843,original,0.9155,0.9155,0.049274,2.6
01073843,edited,0.9033,0.9033,0.049257,2.6
01073843,reauthored,0.9475,0.9475,0.044105,2.5
01073843,reauth_ctrl,0.9456,0.9456,0.046305,2.6
01090483_01090484,original,0.0000,0.4999,0.063143,2.6
01090483_01090484,edited,0.0000,0.5105,0.063200,2.4
01090483_01090484,reauthored,0.9235,0.9235,0.047509,2.5
01090483_01090484,reauth_ctrl,0.8869,0.8869,0.046608,2.5
01331493,original,0.7033,0.7033,0.060505,2.5
01331493,edited,0.6917,0.6917,0.060334,2.5
01331493,reauthored,0.7802,0.7802,0.045181,2.5
01331493,reauth_ctrl,0.9346,0.9346,0.046837,2.5
01331537,original,0.5612,0.5612,0.044629,2.6
01331537,edited,0.5776,0.5776,0.045196,2.5
01331537,reauthored,0.9826,0.9826,0.048922,2.5
01331537,reauth_ctrl,0.9770,0.9770,0.047906,2.5
01398469,original,0.0000,0.3523,0.038886,2.5
01398469,edited,0.0000,0.3425,0.038953,2.5
01398469,reauthored,0.5648,0.5648,0.038538,2.5
01398469,reauth_ctrl,0.0000,0.0429,0.033174,2.5
01787176,original,0.5825,0.5825,0.075464,2.5
01787176,edited,0.5767,0.5767,0.075604,2.5
01787176,reauthored,0.9635,0.9635,0.045549,2.5
01787176,reauth_ctrl,0.0000,0.4632,0.041535,2.6
03561681,original,0.5944,0.5944,0.066313,2.5
03561681,edited,0.5543,0.5543,0.066225,2.5
03561681,reauthored,0.6166,0.6166,0.043772,2.5
03561681,reauth_ctrl,0.6091,0.6091,0.043620,2.5
03724966,original,0.0000,0.5146,0.050287,2.5
03724966,edited,0.0000,0.4947,0.050122,2.5
